Patient_ID	Sample_ID	Cell_population	Constrained_CCF
patient2	p2_t1	CL1	100
patient2	p2_t1	CL1_CL2	49
patient2	p2_t1	CL1_CL3	49
patient2	p2_t1	CL1_CL2_CL4	1
patient2	p2_t1	CL1_CL3_CL5	22
patient2	p2_t1	CL1_CL3_CL6	9
patient2	p2_t2	CL1	100
patient2	p2_t2	CL1_CL2	69
patient2	p2_t2	CL1_CL3	31
patient2	p2_t2	CL1_CL2_CL4	13
patient2	p2_t2	CL1_CL3_CL5	13
patient2	p2_t2	CL1_CL3_CL6	13
patient2	p2_t3	CL1	100
patient2	p2_t3	CL1_CL2	74
patient2	p2_t3	CL1_CL3	18
patient2	p2_t3	CL1_CL2_CL4	59
patient2	p2_t3	CL1_CL3_CL5	0
patient2	p2_t3	CL1_CL3_CL6	18
