Patient_ID	Sample_ID	Cell_population	Constrained_CCF
patient2	p2_t1	CL1	100
patient2	p2_t1	CL1_CL2	51
patient2	p2_t1	CL1_CL3	49
patient2	p2_t1	CL1_CL3_CL4	49
patient2	p2_t1	CL1_CL2_CL5	1
patient2	p2_t1	CL1_CL3_CL4_CL6	16
patient2	p2_t2	CL1	100
patient2	p2_t2	CL1_CL2	23
patient2	p2_t2	CL1_CL3	77
patient2	p2_t2	CL1_CL3_CL4	39
patient2	p2_t2	CL1_CL2_CL5	13
patient2	p2_t2	CL1_CL3_CL4_CL6	13
patient2	p2_t3	CL1	100
patient2	p2_t3	CL1_CL2	21
patient2	p2_t3	CL1_CL3	79
patient2	p2_t3	CL1_CL3_CL4	18
patient2	p2_t3	CL1_CL2_CL5	21
patient2	p2_t3	CL1_CL3_CL4_CL6	9
